,min,max,mean
qty_dot_url,1.0,24.0,2.1913431926630342
qty_hyphen_url,0.0,35.0,0.3288097735963992
qty_underline_url,0.0,21.0,0.11387864225523707
qty_slash_url,0.0,44.0,1.281780545308922
qty_questionmark_url,0.0,9.0,0.00932913691382675
qty_equal_url,0.0,23.0,0.2058614504720972
qty_at_url,0.0,43.0,0.022132728687942062
qty_and_url,0.0,26.0,0.14088463230566178
qty_exclamation_url,0.0,10.0,0.0029442620731666047
qty_space_url,0.0,9.0,0.0010152627838505533
qty_tilde_url,0.0,5.0,0.0032262795131250918
qty_comma_url,0.0,11.0,0.0021658939388811806
qty_plus_url,0.0,19.0,0.002786332306789852
qty_asterisk_url,0.0,60.0,0.004534840434532472
qty_hashtag_url,0.0,13.0,0.0005076313919252767
qty_dollar_url,0.0,10.0,0.001895157196521033
qty_percent_url,0.0,174.0,0.10750504811217526
qty_tld_url,0.0,12.0,1.0474804561914108
length_url,4.0,4165.0,36.34761469649283
qty_dot_domain,0.0,21.0,1.8706216792446444
qty_hyphen_domain,0.0,11.0,0.11457804550633412
qty_underline_domain,0.0,3.0,0.0007558067390887452
qty_slash_domain,0.0,0.0,0.0
qty_questionmark_domain,0.0,0.0,0.0
qty_equal_domain,0.0,0.0,0.0
qty_at_domain,0.0,1.0,1.1280697598339482e-05
qty_and_domain,0.0,0.0,0.0
qty_exclamation_domain,0.0,0.0,0.0
qty_space_domain,0.0,0.0,0.0
qty_tilde_domain,0.0,0.0,0.0
qty_comma_domain,0.0,0.0,0.0
qty_plus_domain,0.0,0.0,0.0
qty_asterisk_domain,0.0,0.0,0.0
qty_hashtag_domain,0.0,0.0,0.0
qty_dollar_domain,0.0,0.0,0.0
qty_percent_domain,0.0,0.0,0.0
qty_vowels_domain,0.0,61.0,5.440590206098345
domain_length,4.0,231.0,18.560819881101448
domain_in_ip,0.0,1.0,0.002267420217266236
server_client_domain,0.0,1.0,0.004500998341737453
qty_dot_directory,-1.0,19.0,-0.3236657754915564
qty_hyphen_directory,-1.0,23.0,-0.3608131126828883
qty_underline_directory,-1.0,17.0,-0.47799699933443884
qty_slash_directory,-1.0,22.0,0.7136846142565456
qty_questionmark_directory,-1.0,0.0,-0.5359346621995105
qty_equal_directory,-1.0,5.0,-0.528342752715828
qty_at_directory,-1.0,43.0,-0.5325504529200086
qty_and_directory,-1.0,26.0,-0.5314223831601746
qty_exclamation_directory,-1.0,9.0,-0.5343102417453496
qty_space_directory,-1.0,9.0,-0.5351450133676267
qty_tilde_directory,-1.0,5.0,-0.5327647861743771
qty_comma_directory,-1.0,5.0,-0.535223978250815
qty_plus_directory,-1.0,19.0,-0.5348629959276682
qty_asterisk_directory,-1.0,60.0,-0.5322345933872551
qty_hashtag_directory,-1.0,0.0,-0.5359346621995105
qty_dollar_directory,-1.0,10.0,-0.5346261012781031
qty_percent_directory,-1.0,174.0,-0.48345685697203516
directory_length,-1.0,1286.0,10.857693999796947
qty_dot_file,-1.0,12.0,-0.36870960100172595
qty_hyphen_file,-1.0,21.0,-0.4780872449152256
qty_underline_file,-1.0,17.0,-0.5107561451600167
qty_slash_file,-1.0,0.0,-0.5359346621995105
qty_questionmark_file,-1.0,0.0,-0.5359346621995105
qty_equal_file,-1.0,3.0,-0.5342876803501528
qty_at_file,-1.0,2.0,-0.5356413640619536
qty_and_file,-1.0,3.0,-0.5345132943021197
qty_exclamation_file,-1.0,4.0,-0.5348968380204632
qty_space_file,-1.0,9.0,-0.5355059956907735
qty_tilde_file,-1.0,4.0,-0.5356413640619536
qty_comma_file,-1.0,5.0,-0.5353706273195934
qty_plus_file,-1.0,19.0,-0.5351675747628233
qty_asterisk_file,-1.0,60.0,-0.5347614696492831
qty_hashtag_file,-1.0,0.0,-0.5359346621995105
qty_dollar_file,-1.0,0.0,-0.5359346621995105
qty_percent_file,-1.0,174.0,-0.49874220221778515
file_length,-1.0,1232.0,2.7437927961465136
qty_dot_params,-1.0,23.0,-0.811093438018207
qty_hyphen_params,-1.0,35.0,-0.8786084131442689
qty_underline_params,-1.0,21.0,-0.8622514016266766
qty_slash_params,-1.0,43.0,-0.8881293219172673
qty_questionmark_params,-1.0,9.0,-0.9078254199239681
qty_equal_params,-1.0,23.0,-0.7272552934673481
qty_at_params,-1.0,10.0,-0.8982481076629779
qty_and_params,-1.0,22.0,-0.788825340959085
qty_exclamation_params,-1.0,10.0,-0.9157783117307974
qty_space_params,-1.0,4.0,-0.916195697541936
qty_tilde_params,-1.0,1.0,-0.9162182589371327
qty_comma_params,-1.0,11.0,-0.9148194524349386
qty_plus_params,-1.0,6.0,-0.9146389612733652
qty_asterisk_params,-1.0,4.0,-0.9161844168443376
qty_hashtag_params,-1.0,0.0,-0.9162746624251243
qty_dollar_params,-1.0,4.0,-0.9158911187067809
qty_percent_params,-1.0,65.0,-0.8621047525578982
params_length,-1.0,4094.0,5.273184653738987
tld_present_params,-1.0,1.0,-0.891739145148736
qty_params,-1.0,23.0,-0.7597437025505658
email_in_url,0.0,1.0,0.018331133597301656
time_response,-1.0,38.402411,0.7938784538111836
domain_spf,-1.0,1.0,-0.017925028483761436
asn_ip,-1.0,395754.0,31131.152763206876
time_domain_activation,-1.0,17775.0,3389.6766613647387
time_domain_expiration,-1.0,22574.0,352.043250194592
qty_ip_resolved,-1.0,24.0,1.1365641251254979
qty_nameservers,0.0,20.0,2.772411925953501
qty_mx_servers,0.0,20.0,1.7424278317371147
ttl_hostname,-1.0,604800.0,6159.877514185478
tls_ssl_certificate,0.0,1.0,0.5064469186774511
qty_redirects,-1.0,17.0,0.3439033469829774
url_google_index,-1.0,1.0,0.0014100871997924352
domain_google_index,-1.0,1.0,0.002019244870102767
url_shortened,0.0,1.0,0.005482419032792988
